rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,censor_rate
0,0.0,0.5005805555555556,0.03848504140807807,0.19940911708862852,0.19940911708862852,0.0,0.05
1,0.0,0.4933067129629629,0.21129787989308557,0.27163635450343226,0.27163635450343226,0.0,0.05
2,0.0,0.4966820601851852,0.3038814273761923,0.39035355307142405,0.39035355307142405,0.0,0.05
3,0.0,0.4892328703703704,0.19469570166366623,0.33499214490702933,0.33499214490702933,0.0,0.05
4,0.0,0.5040724537037037,0.10417061920695336,0.12563288866870592,0.12563288866870592,0.0,0.05
5,0.0,0.5095232638888889,0.20383218054091945,0.2623536314309939,0.2623536314309939,0.0,0.05
6,0.0,0.5002707175925926,0.19348790835944962,0.34281910075373945,0.34281910075373945,0.0,0.05
7,0.0,0.49629930555555557,0.30408788905041695,0.40964795073881766,0.40964795073881766,0.0,0.05
8,0.0,0.5046467592592593,0.23771420502150475,0.40784948359114226,0.40784948359114226,0.0,0.05
9,0.0,0.4978793981481482,0.3387171826022023,0.4746851005391949,0.4746851005391949,0.0,0.05
10,0.0,0.4957425925925925,0.26738667178926334,0.3434723848238115,0.3434723848238115,0.0,0.05
11,0.0,0.4953246527777777,0.22979648966809685,0.3153437535292529,0.3153437535292529,0.0,0.05
12,0.0,0.5003287037037037,0.13592616274317615,0.2338393862289435,0.2338393862289435,0.0,0.05
13,0.0,0.5010474537037037,0.1167101879630642,0.2984142843595704,0.2984142843595704,0.0,0.05
14,0.0,0.5072222222222221,0.0936254769283057,0.1832697728537941,0.1832697728537941,0.0,0.05
15,0.0,0.5194177083333333,0.08609528385573606,0.3082670535912708,0.3082670535912708,0.0,0.05
16,0.0,0.5012450231481481,0.3380201963213625,0.35111932339856977,0.35111932339856977,0.0,0.05
17,0.0,0.5074827546296296,0.1510387496245421,0.33584857926067213,0.33584857926067213,0.0,0.05
18,0.0,0.4872673611111111,0.2657479390874823,0.3659807241365164,0.3659807241365164,0.0,0.05
19,0.0,0.5070857638888889,0.2781794538956863,0.2992412618455549,0.2992412618455549,0.0,0.05
20,0.0,0.49443611111111113,0.35426719442544663,0.3905290188404601,0.3905290188404601,0.0,0.05
21,0.0,0.5091324074074074,0.21476449337278936,0.27456871268942384,0.27456871268942384,0.0,0.05
22,0.0,0.48542685185185186,0.09404184205390176,0.1690576603946352,0.1690576603946352,0.0,0.05
23,0.0,0.5013614583333333,0.2669238807447911,0.37787131887911307,0.37787131887911307,0.0,0.05
24,0.0,0.5009707175925925,0.38947072997913856,0.4206389659168307,0.4206389659168307,0.0,0.05
25,0.0,0.5040603009259259,0.3236737664057102,0.33659913559084575,0.33659913559084575,0.0,0.05
26,0.0,0.5035913194444445,0.3871951569147767,0.47130359662908483,0.47130359662908483,0.0,0.05
27,0.0,0.5080668981481482,0.3387180374183312,0.34037515663743667,0.34037515663743667,0.0,0.05
28,0.0,0.4896024305555556,0.031194233677695138,0.28015084311594474,0.28015084311594474,0.0,0.05
29,0.0,0.49546979166666666,0.16968294642398662,0.29327836836840826,0.29327836836840826,0.0,0.05
30,0.0,0.5089475694444444,0.2472157716827046,0.4505026301111379,0.4505026301111379,0.0,0.05
31,0.0,0.48983958333333333,0.37596657918286547,0.36228529894397365,0.36228529894397365,0.0,0.05
32,0.0,0.49544490740740743,0.07336196483081037,0.26039342616210936,0.26039342616210936,0.0,0.05
33,0.0,0.49220902777777775,0.2810152682792749,0.39715835737507743,0.39715835737507743,0.0,0.05
34,0.0,0.5089630787037037,0.28253463639611476,0.3387774317127358,0.3387774317127358,0.0,0.05
35,0.0,0.4898872685185185,0.030695652842385845,0.28074690286211224,0.28074690286211224,0.0,0.05
36,0.0,0.49961122685185183,0.21856014437264704,0.2300745129611087,0.2300745129611087,0.0,0.05
37,0.0,0.49905347222222224,0.1661985591971925,0.27464271844991517,0.27464271844991517,0.0,0.05
38,0.0,0.5115775462962963,0.30858820351969285,0.48295517116960096,0.48295517116960096,0.0,0.05
39,0.0,0.5042184027777777,0.1324350816156743,0.3102147754099214,0.3102147754099214,0.0,0.05
40,0.0,0.49635127314814814,0.2631293904348403,0.32528497807055823,0.32528497807055823,0.0,0.05
41,0.0,0.48951782407407407,0.1325939635115373,0.31074042989766215,0.31074042989766215,0.0,0.05
42,0.0,0.49890127314814814,0.15060920431153813,0.2714485533749609,0.2714485533749609,0.0,0.05
43,0.0,0.5027577546296297,0.20590621426068556,0.2630955887242692,0.2630955887242692,0.0,0.05
44,0.0,0.4760092592592593,0.13193896650072046,0.31134086432300867,0.31134086432300867,0.0,0.05
45,0.0,0.49433993055555553,0.19345690494943002,0.24822191519721926,0.24822191519721926,0.0,0.05
46,0.0,0.48280578703703697,0.28483638737561734,0.3446606632901762,0.3446606632901762,0.0,0.05
47,0.0,0.5029570601851852,0.3317157044282735,0.3665845540041589,0.3665845540041589,0.0,0.05
48,0.0,0.5003240740740741,0.37063194870094307,0.29471069506026815,0.29471069506026815,0.0,0.05
49,0.0,0.49867800925925926,0.12046086991564775,0.3015576060750198,0.3015576060750198,0.0,0.05
50,0.0,0.5209662037037037,0.32975939408007393,0.36065180778164874,0.36065180778164874,0.0,0.05
51,0.0,0.49562083333333334,0.12210362480355108,0.2477088168590662,0.2477088168590662,0.0,0.05
52,0.0,0.48783622685185185,0.29461735775320386,0.388690997564901,0.388690997564901,0.0,0.05
53,0.0,0.5004996527777777,0.4026836669505659,0.4202811978376455,0.4202811978376455,0.0,0.05
54,0.0,0.5089559027777778,0.28238614796946837,0.3784186654210371,0.3784186654210371,0.0,0.05
55,0.0,0.4786664351851852,0.2653634937970658,0.22478883637074687,0.22478883637074687,0.0,0.05
56,0.0,0.4936581018518518,0.28755894893237466,0.36518398446623745,0.36518398446623745,0.0,0.05
57,0.0,0.5109348379629629,0.3372038427577394,0.3429843807359497,0.3429843807359497,0.0,0.05
58,0.0,0.4938829861111111,0.3485157676070636,0.33408667855672936,0.33408667855672936,0.0,0.05
59,0.0,0.4950170138888889,0.18483459066310592,0.2666989162813487,0.2666989162813487,0.0,0.05
60,0.0,0.5137991898148148,0.2723135526850343,0.39276628709226313,0.39276628709226313,0.0,0.05
61,0.0,0.5112244212962963,0.15123168559900513,0.265418306430079,0.265418306430079,0.0,0.05
62,0.0,0.4959804398148148,0.2898214964768525,0.3479345380567622,0.3479345380567622,0.0,0.05
63,0.0,0.5047111111111111,0.232799586498321,0.2998083792248817,0.2998083792248817,0.0,0.05
64,0.0,0.5109465277777777,0.2300810940816257,0.24525025698420766,0.24525025698420766,0.0,0.05
65,0.0,0.4899809027777778,0.2105272134884526,0.27098548421557667,0.27098548421557667,0.0,0.05
66,0.0,0.49181030092592587,0.21849194350518075,0.31174197756503863,0.31174197756503863,0.0,0.05
67,0.0,0.48726099537037043,0.1763585476127223,0.3418836426529782,0.3418836426529782,0.0,0.05
68,0.0,0.4945208333333333,0.23675030165305722,0.2909638108977204,0.2909638108977204,0.0,0.05
69,0.0,0.503590625,0.06337004498475285,0.1674424997561922,0.1674424997561922,0.0,0.05
70,0.0,0.4960055555555556,0.2619698841631589,0.386335149876028,0.386335149876028,0.0,0.05
71,0.0,0.5050042824074074,-0.014108175561833525,0.22821270070414235,0.22821270070414235,0.0,0.05
72,0.0,0.4893222222222222,0.28941391431021046,0.4212475856264335,0.4212475856264335,0.0,0.05
73,0.0,0.5040062500000001,0.22162310451775025,0.29916184979477956,0.29916184979477956,0.0,0.05
74,0.0,0.5097443287037037,0.20169233536535014,0.2934786805452404,0.2934786805452404,0.0,0.05
75,0.0,0.4928049768518519,0.3601441300939344,0.43562064377369614,0.43562064377369614,0.0,0.05
76,0.0,0.5066269675925925,0.06613328133123075,0.14525847547535775,0.14525847547535775,0.0,0.05
77,0.0,0.49997696759259264,0.24595551116983894,0.35128604286626075,0.35128604286626075,0.0,0.05
78,0.0,0.5009511574074074,0.20026300743658598,0.27861967792328324,0.27861967792328324,0.0,0.05
79,0.0,0.4739199074074074,0.13062097119098748,0.24105772809987014,0.24105772809987014,0.0,0.05
80,0.0,0.4914289351851851,0.29478776135722395,0.3892510590429097,0.3892510590429097,0.0,0.05
81,0.0,0.5031790509259259,0.1724640385511942,0.273311595226707,0.273311595226707,0.0,0.05
82,0.0,0.4900211805555556,0.2286489240216314,0.3046904004220389,0.3046904004220389,0.0,0.05
83,0.0,0.5038766203703703,0.409257445389659,0.3873596681147905,0.3873596681147905,0.0,0.05
84,0.0,0.5086217592592592,0.4314375083086417,0.47014933596341224,0.47014933596341224,0.0,0.05
85,0.0,0.48819976851851843,0.30554268690009556,0.35495786158239584,0.35495786158239584,0.0,0.05
86,0.0,0.4929164351851852,0.2015588033171033,0.3009962858008043,0.3009962858008043,0.0,0.05
87,0.0,0.4958738425925926,0.2968679937659491,0.36644123038215703,0.36644123038215703,0.0,0.05
88,0.0,0.48703888888888897,0.23866931550188486,0.3538035669518734,0.3538035669518734,0.0,0.05
89,0.0,0.4864554398148148,0.17682772779131828,0.287844101810376,0.287844101810376,0.0,0.05
90,0.0,0.5091623842592593,0.0029281629154537248,0.2723526934223952,0.2723526934223952,0.0,0.05
91,0.0,0.5083755787037038,0.3422740151416741,0.2843542252305242,0.2843542252305242,0.0,0.05
92,0.0,0.48804201388888885,0.32619805146456726,0.2887820029582113,0.2887820029582113,0.0,0.05
