rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,r2_pooled,r2_pooled_mask,mask_gain_pooled,inflation,censor_rate
0,0,0.50058055555555558,0.038485041408078069,0.19940911708862852,0.19940911708862852,0,0.21615328430689551,0.21615328430689551,0,0.016744167218266992,0.050000000000000003
1,0,0.49330671296296291,0.21129787989308557,0.27163635450343226,0.27163635450343226,0,0.29434060363728254,0.29434060363728254,0,0.022704249133850274,0.050000000000000003
2,0,0.49668206018518518,0.30388142737619228,0.39035355307142405,0.39035355307142405,0,0.36719044837503512,0.36719044837503512,0,-0.023163104696388936,0.050000000000000003
3,0,0.48923287037037039,0.19469570166366623,0.33499214490702933,0.33499214490702933,0,0.3557498899248841,0.3557498899248841,0,0.020757745017854767,0.050000000000000003
4,0,0.50407245370370368,0.10417061920695336,0.12563288866870592,0.12563288866870592,0,0.15059777536973773,0.15059777536973773,0,0.024964886701031808,0.050000000000000003
5,0,0.50952326388888891,0.20383218054091945,0.26235363143099388,0.26235363143099388,0,0.26973126840441186,0.26973126840441186,0,0.0073776369734179781,0.050000000000000003
6,0,0.50027071759259256,0.19348790835944962,0.34281910075373945,0.34281910075373945,0,0.31226230452144643,0.31226230452144643,0,-0.030556796232293015,0.050000000000000003
7,0,0.49629930555555557,0.30408788905041695,0.40964795073881766,0.40964795073881766,0,0.36763509392774607,0.36763509392774607,0,-0.042012856811071586,0.050000000000000003
8,0,0.50464675925925928,0.23771420502150475,0.40784948359114226,0.40784948359114226,0,0.37925266521778167,0.37925266521778167,0,-0.028596818373360589,0.050000000000000003
9,0,0.49787939814814819,0.33871718260220229,0.47468510053919488,0.47468510053919488,0,0.44498957030689712,0.44498957030689712,0,-0.029695530232297762,0.050000000000000003
10,0,0.49574259259259251,0.26738667178926334,0.34347238482381148,0.34347238482381148,0,0.39481563542821374,0.39481563542821374,0,0.051343250604402257,0.050000000000000003
11,0,0.49532465277777771,0.22979648966809685,0.31534375352925292,0.31534375352925292,0,0.27211424098512749,0.27211424098512749,0,-0.043229512544125437,0.050000000000000003
12,0,0.50032870370370375,0.13592616274317615,0.23383938622894351,0.23383938622894351,0,0.26006220078146525,0.26006220078146525,0,0.026222814552521734,0.050000000000000003
13,0,0.50104745370370374,0.1167101879630642,0.2984142843595704,0.2984142843595704,0,0.35265835942828516,0.35265835942828516,0,0.054244075068714759,0.050000000000000003
14,0,0.50722222222222213,0.093625476928305695,0.18326977285379409,0.18326977285379409,0,0.19126011699689716,0.19126011699689716,0,0.0079903441431030675,0.050000000000000003
15,0,0.51941770833333334,0.08609528385573606,0.30826705359127082,0.30826705359127082,0,0.33101012381448269,0.33101012381448269,0,0.02274307022321187,0.050000000000000003
16,0,0.50124502314814812,0.33802019632136249,0.35111932339856977,0.35111932339856977,0,0.32039666908219511,0.32039666908219511,0,-0.030722654316374665,0.050000000000000003
17,0,0.50748275462962955,0.15103874962454211,0.33584857926067213,0.33584857926067213,0,0.30406038496328913,0.30406038496328913,0,-0.031788194297382999,0.050000000000000003
18,0,0.48726736111111107,0.26574793908748229,0.36598072413651639,0.36598072413651639,0,0.32278238482906951,0.32278238482906951,0,-0.043198339307446876,0.050000000000000003
19,0,0.50708576388888893,0.27817945389568632,0.29924126184555488,0.29924126184555488,0,0.33394192270015555,0.33394192270015555,0,0.034700660854600662,0.050000000000000003
20,0,0.49443611111111113,0.35426719442544663,0.3905290188404601,0.3905290188404601,0,0.43182671471680201,0.43182671471680201,0,0.041297695876341911,0.050000000000000003
21,0,0.50913240740740739,0.21476449337278936,0.27456871268942384,0.27456871268942384,0,0.28850508820603649,0.28850508820603649,0,0.013936375516612642,0.050000000000000003
22,0,0.48542685185185186,0.094041842053901759,0.16905766039463521,0.16905766039463521,0,0.1582597014490903,0.1582597014490903,0,-0.010797958945544917,0.050000000000000003
23,0,0.50136145833333334,0.26692388074479112,0.37787131887911307,0.37787131887911307,0,0.30892473049731306,0.30892473049731306,0,-0.068946588381800011,0.050000000000000003
24,0,0.50097071759259248,0.38947072997913856,0.4206389659168307,0.4206389659168307,0,0.42320489266559824,0.42320489266559824,0,0.0025659267487675441,0.050000000000000003
25,0,0.50406030092592591,0.32367376640571022,0.33659913559084575,0.33659913559084575,0,0.35668295031167885,0.35668295031167885,0,0.020083814720833093,0.050000000000000003
26,0,0.50359131944444446,0.38719515691477668,0.47130359662908483,0.47130359662908483,0,0.49717817659481833,0.49717817659481833,0,0.025874579965733502,0.050000000000000003
27,0,0.5080668981481482,0.33871803741833117,0.34037515663743667,0.34037515663743667,0,0.32642730537709519,0.32642730537709519,0,-0.013947851260341482,0.050000000000000003
28,0,0.48960243055555558,0.031194233677695138,0.28015084311594474,0.28015084311594474,0,0.2169091041776664,0.2169091041776664,0,-0.063241738938278336,0.050000000000000003
29,0,0.49546979166666666,0.16968294642398662,0.29327836836840826,0.29327836836840826,0,0.30763590512409478,0.30763590512409478,0,0.014357536755686517,0.050000000000000003
30,0,0.50894756944444441,0.24721577168270459,0.45050263011113789,0.45050263011113789,0,0.39041614061433627,0.39041614061433627,0,-0.060086489496801621,0.050000000000000003
31,0,0.48983958333333333,0.37596657918286547,0.36228529894397365,0.36228529894397365,0,0.33405490255320736,0.33405490255320736,0,-0.028230396390766299,0.050000000000000003
32,0,0.49544490740740743,0.073361964830810367,0.26039342616210936,0.26039342616210936,0,0.25743715043012361,0.25743715043012361,0,-0.002956275731985758,0.050000000000000003
33,0,0.49220902777777775,0.28101526827927492,0.39715835737507743,0.39715835737507743,0,0.39749629393788022,0.39749629393788022,0,0.0003379365628027875,0.050000000000000003
34,0,0.50896307870370372,0.28253463639611476,0.33877743171273578,0.33877743171273578,0,0.36974330185939752,0.36974330185939752,0,0.030965870146661745,0.050000000000000003
35,0,0.48988726851851849,0.030695652842385845,0.28074690286211224,0.28074690286211224,0,0.28101313988075072,0.28101313988075072,0,0.00026623701863848215,0.050000000000000003
