disparity,censor_rate,auc_mask,auc_mask_lo,auc_mask_hi,r2_within,r2_within_lo,r2_within_hi,r2_loso,r2_loso_lo,r2_loso_hi,r2_loso_mask,r2_loso_mask_lo,r2_loso_mask_hi,mask_gain,mask_gain_lo,mask_gain_hi
0.0,0.04999999999999999,0.4985490428240741,0.4967901246238425,0.5002733544849537,0.23260739090495025,0.21409630614709266,0.2517568411930168,0.31977313497776644,0.30618716617754066,0.334389820342219,0.31977313497776644,0.30576299347558317,0.3342398538640921,0.0,0.0,0.0
0.05,0.06626180555555554,0.5636085335648148,0.5617892263599537,0.5653527495659721,0.24068386010428142,0.2230250421191196,0.2589773591850364,0.3187528079075647,0.30533342987972795,0.33183659654874365,0.3187355831501239,0.3051683250605048,0.3318839085692232,-1.722475744088903e-05,-9.819539746288359e-05,5.996726200161659e-05
0.1,0.08271597222222221,0.6338808935185186,0.6317586690682871,0.6360186195601852,0.23759499432751757,0.21913339967581724,0.2555458357770065,0.32587830025734876,0.3126204590724196,0.3390287093893006,0.32582164766541816,0.3131394398536898,0.33916675224671555,-5.665259193056382e-05,-0.00021832686889924143,8.89264107054415e-05
0.15,0.09867750000000002,0.6906078275462965,0.6885229815972224,0.692704640480324,0.2387445057936485,0.22116328771317495,0.25697204630465204,0.31808503516334397,0.30595375379520356,0.33106218401607135,0.317949884429345,0.30547667985377297,0.33053652474658274,-0.00013515073399892664,-0.0007151715179439955,0.0004645469969870468
0.2,0.11553930555555554,0.7394653067129631,0.737369091724537,0.7416341191840278,0.2448199586950045,0.22673871936106632,0.2637447941684663,0.31371711964465393,0.29864030445943957,0.32740202975651433,0.3144049842052759,0.29938729030362793,0.32877056660131443,0.0006878645606218814,-0.0010063496016555868,0.0023436972677574265
0.25,0.13111402777777778,0.7774702442129628,0.7749913157407408,0.7798839673900461,0.23846719160044558,0.22257939344654515,0.2542013966528846,0.303376711977252,0.2903674309681004,0.3170077981019398,0.303414899446932,0.29110909111521616,0.3161757541515486,3.818746967994002e-05,-0.0017954269007533386,0.001937597804812581
0.3,0.14673416666666664,0.8094846307870371,0.8072323868055555,0.8118535849826388,0.25386141885481694,0.23383453740693047,0.27445991713862,0.3083953350763723,0.29393871680779077,0.32356871272372234,0.3069319218649571,0.2915030063486582,0.3217681957593275,-0.0014634132114152122,-0.0032125630918804003,0.000322705270496903
0.35,0.1639084722222222,0.8428398576388889,0.840739320775463,0.8449173470775463,0.2335977200014775,0.21520385954831403,0.2515357719583755,0.28871189983383005,0.2760064095737578,0.3008653515751459,0.2861081865459768,0.27277401013863134,0.29956415058050456,-0.002603713287853209,-0.00480284932014153,-0.00035365632109220934
0.4,0.18012125,0.8672477928240739,0.8652365427662037,0.8694303274305555,0.2367248146223818,0.21929958177153056,0.254797144614174,0.28301559539668647,0.27061241201655684,0.2958713299412595,0.28096062467143906,0.26728034136111284,0.29486430162453886,-0.002054970725247387,-0.004238442016517351,5.5932967174339565e-05
0.45,0.1978052777777778,0.8899510011574076,0.8876916065393519,0.8922227585937501,0.23988313880211445,0.223246939344745,0.2562797257610431,0.2752652881899295,0.26273529935534173,0.28914694810830516,0.2719923350340374,0.25777562206581334,0.2860196688634115,-0.0032729531558920977,-0.006272756653969453,-0.00035492757103502243
0.5,0.21319722222222226,0.9088065069444444,0.9068562224247687,0.9108671099247685,0.24374740942285306,0.22838791856383026,0.259228936623414,0.26231852542392603,0.24969361221202108,0.2752882081607769,0.2597663367637191,0.2465029497390499,0.2728307741853176,-0.0025521886602069333,-0.005254079289877207,0.0002676237528022713
0.55,0.23000111111111107,0.9251297013888887,0.9232564745949075,0.9269354799479166,0.24278765430263455,0.22394488213168717,0.26077744501725925,0.2499761833161296,0.23399589659711778,0.26508643598980985,0.2488347945371233,0.23413866335431716,0.2635982747776689,-0.001141388779006376,-0.004815662532052023,0.002303901993891367
0.6,0.2430401388888889,0.9360813541666664,0.9341917347800925,0.9381460696180557,0.24160891084987532,0.22509861835539613,0.2577072450162061,0.24263551086934854,0.22666708724451773,0.2586870283805039,0.2380478872183839,0.22012728997939446,0.25510930960734324,-0.004587623650964574,-0.008846423611362845,-0.0005799533118266321
0.65,0.2622319444444444,0.9505733530092593,0.9485765623842594,0.9525586811631945,0.24093945420669033,0.22455506427569336,0.25698300065456053,0.21369229256293235,0.18789190556389565,0.23761455096104483,0.21334583615993755,0.18609910078800174,0.23609940115001612,-0.0003464564029947803,-0.005232904597955458,0.004465527723037617
0.7,0.2760531944444444,0.9603309560185186,0.9584477555266203,0.962164669849537,0.22899489489028685,0.21015323803250147,0.24685507068794343,0.17432954703150724,0.13999430704160756,0.20430665419918612,0.1679787133882732,0.132678323599341,0.1998308592946915,-0.006350833643233961,-0.012021683391057823,-0.0005462302466482883
0.75,0.29098222222222225,0.9696766967592594,0.967954272019676,0.9712011673321759,0.23650991743484692,0.21747437832235236,0.25532254521766373,-0.004875042274389727,-0.11696690155260099,0.09057571299120382,-0.01174408129302793,-0.1252224099491027,0.08501521355822671,-0.006869039018638198,-0.019917784493496647,0.006193326194254738
0.8,0.3100981944444445,0.9779764537037038,0.97684346875,0.9791097374131947,0.24467657538910143,0.2297200046929664,0.26046687975550376,-0.12650128447871675,-0.25817761667477124,-0.009351050638233424,-0.12583808121398543,-0.259442127644273,-0.014128815344453259,0.0006632032647312802,-0.015515657466776715,0.01638446107120196
0.85,0.32655833333333334,0.9828900729166667,0.9816672916087963,0.9840756305266203,0.25700513507938294,0.23757634451087922,0.27768726878106714,-1.0638191804229016,-1.6561942210935148,-0.5699524736815168,-1.055693765589809,-1.6366777544308895,-0.5365062337010608,0.008125414833092676,-0.037775494406714884,0.05595721059289844
0.9,0.34358694444444454,0.9883360879629629,0.9875290949363427,0.9890943718171296,0.2341616232045521,0.21753435703092114,0.25035446284510626,-1.7712285643106693,-2.74510327492326,-1.0116192595319464,-1.7689364533010796,-2.7674602049752894,-0.9561583707193166,0.0022921110095899255,-0.12363970068177284,0.10418034410721831
0.95,0.35874541666666654,0.9920886435185186,0.9914852032118054,0.9926461163483795,0.22468756832180248,0.20594988230592284,0.24351439010269163,-20.01043307984314,-30.372235478674863,-11.013988667376786,-19.58628703712494,-29.761556732313135,-10.866002838968361,0.42414604271819556,-0.5382118198119389,1.368263091737119
