disparity,censor_rate,n_reps,auc_mask,auc_mask_mean,auc_mask_lo,auc_mask_hi,r2_within,r2_within_mean,r2_within_lo,r2_within_hi,r2_loso,r2_loso_mean,r2_loso_lo,r2_loso_hi,r2_loso_mask,r2_loso_mask_mean,r2_loso_mask_lo,r2_loso_mask_hi,mask_gain,mask_gain_mean,mask_gain_lo,mask_gain_hi,r2_pooled,r2_pooled_mean,r2_pooled_lo,r2_pooled_hi,r2_pooled_mask,r2_pooled_mask_mean,r2_pooled_mask_lo,r2_pooled_mask_hi,mask_gain_pooled,mask_gain_pooled_mean,mask_gain_pooled_lo,mask_gain_pooled_hi,inflation,inflation_mean,inflation_lo,inflation_hi
0.0,0.04999999999999999,100,0.49919699074074075,0.4985490428240741,0.4959396990740741,0.5006826388888889,0.23723225333728098,0.23260739090495025,0.21662821843898505,0.2663359099161367,0.31154142094402365,0.31977313497776644,0.29916184979477956,0.3395762941750862,0.31154142094402365,0.31977313497776644,0.29882777310256264,0.3390150165713406,0.0,0.0,0.0,0.0,0.32701302250536146,0.3217178306104016,0.30874119572893544,0.3461244456110779,0.32701302250536146,0.3217178306104016,0.3081885504265151,0.3461244456110779,0.0,0.0,0.0,0.0,0.0054187243855338685,0.0019446956326351506,-0.003896990440619086,0.009426495761425735
0.05,0.06626180555555554,100,0.5640329861111111,0.5636085335648148,0.5612588541666667,0.5670964699074075,0.23923283607363421,0.24068386010428142,0.22431974723478498,0.26033262546328023,0.3212364413609061,0.3187528079075647,0.30179034407953254,0.3357559932982847,0.32103715661754595,0.3187355831501239,0.30145712774233846,0.3356535792166966,0.0,-1.722475744088903e-05,-3.6422702358596126e-05,0.0,0.31966649830859833,0.3260182816549596,0.3072773139694657,0.3407667270695566,0.31966649830859833,0.3260182816549596,0.30697920834406733,0.3412052735250475,0.0,0.0,0.0,0.0,0.00957695170704137,0.0072654737473949104,0.0018622660344870257,0.013842272266614941
0.1,0.08271597222222221,100,0.6352402199074074,0.6338808935185186,0.6304215277777778,0.6369953703703702,0.22574399337029244,0.23759499432751757,0.20694524380703744,0.26044134988368633,0.32526068540068964,0.32587830025734876,0.3034892399313279,0.3475603423556679,0.32526068540068964,0.32582164766541816,0.30328711557900817,0.34668412302316015,0.0,-5.665259193056382e-05,-7.451945811504102e-05,0.0,0.32129844845145067,0.327505075160786,0.30389475881480793,0.3398016773942962,0.32395962305839937,0.3278635947794013,0.3093195103600912,0.34276606144714944,0.0,0.0003585196186152606,-0.00044949883981263973,0.000270537637025688,0.0008250005450249898,0.0016267749034372925,-0.004935090434561751,0.00847541619598402
0.15,0.09867750000000002,100,0.6909794560185184,0.6906078275462965,0.6876606481481481,0.693310011574074,0.23575744425978684,0.2387445057936485,0.21228880607752038,0.267431973899912,0.3149776483711857,0.31808503516334397,0.3003259647698726,0.3265597533172333,0.31477940990154774,0.317949884429345,0.30044114054743487,0.3275108171622609,0.0,-0.00013515073399892664,-0.0001360070462647883,9.364895293427414e-06,0.3225241465484523,0.3276425874826973,0.3103590271703873,0.34200621466417924,0.3256640728525088,0.3285582465006417,0.3108428923667925,0.3438975582228158,0.0009920166855737489,0.0009156590179444169,-0.0007035756968024609,0.002262287822258402,0.010523678411644366,0.009557552319353336,0.0038497932743834177,0.017334802728410925
0.2,0.11553930555555554,100,0.7386278356481482,0.7394653067129631,0.7369416666666668,0.7426035879629629,0.249561109980871,0.2448199586950045,0.22377713824736045,0.279276965851033,0.3104702446649035,0.31371711964465393,0.2965772176247625,0.3323393623958225,0.3120758136646222,0.3144049842052759,0.2921477613498693,0.33218919059010676,0.0002695661429616414,0.0006878645606218814,-0.0011322001425667638,0.0015042713253979227,0.32253034397482616,0.3260808602358346,0.3066155282138273,0.3399562753758045,0.3206245662368931,0.3249848178392962,0.3068522647906663,0.34036131461711194,-6.150632517243348e-05,-0.0010960423965383802,-0.0023815841224548717,0.0023458749548578295,0.010509190875739316,0.012363740591180563,0.001587521192953023,0.019885904093155216
0.25,0.13111402777777778,100,0.7757672453703703,0.7774702442129628,0.7736870457175925,0.7794155092592592,0.2287113732209889,0.23846719160044558,0.2126832021151886,0.24424204935657717,0.30223829570918576,0.303376711977252,0.28328412831947425,0.3227159967225566,0.30181673260707725,0.303414899446932,0.2851413274380369,0.3208445311321521,-0.0003720120948590422,3.818746967994002e-05,-0.0022955588254750525,0.0020545236290157587,0.3196667908602669,0.32151331078834305,0.3084358802911825,0.3294325012862578,0.3155213205160462,0.32071177082194624,0.3056933812226149,0.33368967883742423,-0.0011011510878758402,-0.0008015399663968026,-0.004326695258252133,0.0015980784567916073,0.02122554481447919,0.01813659881109098,0.009877385103732816,0.027337412180329073
0.3,0.14673416666666664,100,0.8106508101851851,0.8094846307870371,0.8057507392939816,0.8129233796296296,0.24814521058428785,0.25386141885481694,0.20702771898220307,0.2910877363284928,0.31275386369622493,0.3083953350763723,0.30009866185248485,0.3243616473665911,0.3107116355414738,0.3069319218649571,0.28740158021975676,0.32893586945450326,-0.0021743735373153106,-0.0014634132114152122,-0.0037645547439470544,0.0020818427569258002,0.33019364032209847,0.33004015183555535,0.3066895493336612,0.35007251915224247,0.32605246304530316,0.32722019600694296,0.30665304347235656,0.340560070640186,-0.0022549610274134047,-0.002819955828612507,-0.004124186594013568,0.0005466012375349161,0.023098468023030505,0.021644816759183172,0.014621051007132513,0.027990321589719258
0.35,0.1639084722222222,100,0.8428015625,0.8428398576388889,0.8411340277777777,0.8453645254629629,0.23385899042046804,0.2335977200014775,0.21525559211603262,0.25203307455685753,0.29028615635031224,0.28871189983383005,0.2733226232103728,0.31302202855366157,0.28299463519516216,0.2861081865459768,0.26911581197578327,0.3062295987680361,-0.002371294521681,-0.002603713287853209,-0.006320597477133372,0.0005978948716075516,0.3106552994477372,0.31658335232647333,0.28881885801642937,0.33215155799856944,0.30948735625499463,0.31646867737231144,0.2923043014701576,0.3279071291228682,0.0003863444203157651,-0.00011467495416187635,-0.002430996608285052,0.0018732792093076878,0.03012565709856352,0.027871452492643257,0.02100324430449496,0.0396844080200372
0.4,0.18012125,100,0.8682385995370372,0.8672477928240739,0.8644969907407406,0.8697302083333334,0.23714444038556232,0.2367248146223818,0.21155664198960067,0.2592413426306449,0.28418366489203806,0.28301559539668647,0.2656077183801245,0.2947594946490749,0.2801538892891214,0.28096062467143906,0.2661086357543082,0.2949459754919248,-0.001282652663294026,-0.002054970725247387,-0.004664722654541209,0.0022909897706348617,0.315002398654824,0.3137089240929472,0.29805544149838653,0.33577997155122435,0.3113185234239785,0.31217028887225656,0.2986339116056655,0.3353697030218364,-0.0012665435332565034,-0.001538635220690654,-0.0038620383323766383,0.0012224271040844892,0.02998189448117272,0.030693328696260756,0.017418940655256954,0.03638678532337092
0.45,0.1978052777777778,100,0.890598611111111,0.8899510011574076,0.8877334490740741,0.8930169560185185,0.24681469851915677,0.23988313880211445,0.21955209054649072,0.2588642587007301,0.2747542567673335,0.2752652881899295,0.2600957910581956,0.2910977020080161,0.2705106431698143,0.2719923350340374,0.25114377532900833,0.2908006271914363,-0.0015608153316666318,-0.0032729531558920977,-0.007267514377143569,0.0007198827553320797,0.31495226876591104,0.3173789434149479,0.30210364446373456,0.3328926791849682,0.3163480040394771,0.3166489488775617,0.3042368482365856,0.33268946692930784,-0.0005315967724112691,-0.0007299945373861671,-0.0033604863289481424,0.0016422542998636436,0.04040262353453833,0.04211365522501834,0.028006100610766027,0.04638610301384055
