k_features,draw,balanced_accuracy,balanced_accuracy_normalised,balanced_accuracy_null,balanced_accuracy_null_normalised,retention_disparity,retention_disparity_null,retention_pct_lowest_survey,retention_pct_highest_survey,retention_pct_pooled,retention_pct_GEMAS,retention_pct_NASGL,retention_pct_NGSA
5,0,0.6107684347183527,0.8323053041550583,0.3333333333333333,0.0,6.034255121147095,1.0215507911525916,16.532839201152974,99.76336961665878,39.89136994568497,99.76336961665878,16.532839201152974,29.96197718631179
5,1,0.3926134858734196,0.17784045762025885,0.3333333333333333,0.0,1.2341376391900873,1.0192345339711901,80.83650190114069,99.76336961665878,96.08931804465902,99.76336961665878,98.62054766316658,80.83650190114069
5,2,0.6649170861492771,0.9947512584478315,0.3333333333333333,0.0,346.1076330200798,1.1063785034442866,0.2882437718756434,99.76336961665878,25.72118286059143,99.76336961665878,0.2882437718756434,0.6844106463878328
5,3,0.3333333333333333,0.0,0.3333333333333333,0.0,3.4854305129735175,1.03454080586704,27.984790874524716,97.5390440132513,61.25528062764032,97.5390440132513,54.4780728844966,27.984790874524716
5,4,0.3333333333333333,0.0,0.3333333333333333,0.0,2.714915154057746,1.0235586743018477,34.82889733840304,94.55750118315191,75.1961375980688,94.55750118315191,77.70228536133416,34.82889733840304
5,5,0.606101630792747,0.8183048923782412,0.3333333333333333,0.0,5.563153688038022,1.0134227433885405,17.93288037883467,99.76336961665878,48.980084490042245,99.76336961665878,17.93288037883467,82.0532319391635
5,6,0.3333333333333333,0.0,0.3333333333333333,0.0,1.11460349231866,1.0083270728566172,89.50570342205323,99.76336961665878,94.4115872057936,99.76336961665878,93.41157092855671,89.50570342205323
5,7,0.6229134148461749,0.8687402445385248,0.3333333333333333,0.0,9.145697621088061,1.075797546758332,10.665019559398806,97.5390440132513,46.36089318044659,97.5390440132513,10.665019559398806,95.96958174904942
5,8,0.4765984064906264,0.42979521947187926,0.3333333333333333,0.0,45.07268298479088,1.0144755285842586,1.3176858142886554,59.39163498098859,21.496680748340374,44.29720776147658,1.3176858142886554,59.39163498098859
5,9,0.4806475451907842,0.4419426355723526,0.3333333333333333,0.0,430.3030761949835,1.098146188026002,0.10294420424130121,44.29720776147658,11.394085697042849,44.29720776147658,0.10294420424130121,0.22813688212927757
5,10,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0225162201551543,1.0012980970836718,97.56653992395438,99.76336961665878,98.86541943270971,99.76336961665878,98.82643607164917,97.56653992395438
5,11,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0815237514089555,1.0061101110610213,92.24334600760457,99.76336961665878,96.54797827398913,99.76336961665878,96.31459748816141,92.24334600760457
