target,lod_ratio,random,blocked,loso,inflation_random_minus_loso,regime,representation,is_primary_arm
Bi,2.0,0.712,0.6647,0.3101,0.4019,substitution,clr,False
Ca,7.143,0.8814,0.8582,0.5193,0.3621,substitution,clr,False
Cd,1.0,0.3589,0.2931,-1.6483,2.0071,substitution,clr,False
Ce,1.667,0.9544,0.9446,0.3731,0.5813,substitution,clr,False
Co,1.0,0.9313,0.9122,0.6592,0.2721,substitution,clr,False
Cr,2.0,0.8913,0.8586,0.2134,0.6779,substitution,clr,False
Cs,50.0,-1.4073,-1.7254,-6.4648,5.0575,substitution,clr,False
Cu,2.5,0.7484,0.7109,0.2616,0.4867,substitution,clr,False
Fe,1.0,0.9191,0.8945,0.5122,0.4069,substitution,clr,False
Hg,1.0,0.4726,0.3507,-0.3243,0.797,substitution,clr,False
In,6.667,0.568,0.4799,-1.0564,1.6244,substitution,clr,False
K,2.381,0.968,0.9621,0.5914,0.3765,substitution,clr,False
La,5.0,0.9535,0.9484,0.5219,0.4316,substitution,clr,False
Li,10.0,0.8656,0.847,-0.5183,1.3839,substitution,clr,False
Mg,1.667,0.905,0.887,0.4666,0.4384,substitution,clr,False
Mn,7.8,0.7927,0.7601,0.069,0.7237,substitution,clr,False
Mo,6.0,0.495,0.3945,-0.4822,0.9772,substitution,clr,False
Na,1.351,0.89,0.8525,-0.9434,1.8334,substitution,clr,False
Nb,3.333,0.9557,0.9529,-2.2484,3.2041,substitution,clr,False
Ni,1.0,0.9138,0.9086,0.3402,0.5737,substitution,clr,False
P,2.273,0.7797,0.7357,0.0476,0.7321,substitution,clr,False
Pb,5.0,0.7896,0.7209,0.2562,0.5334,substitution,clr,False
Rb,1.0,0.9586,0.951,0.6635,0.2951,substitution,clr,False
S,20.0,0.554,0.4708,-0.0899,0.6439,substitution,clr,False
Sb,8.0,0.122,-0.0595,-3.0878,3.2098,substitution,clr,False
Sc,3.0,0.9529,0.9436,0.5501,0.4028,substitution,clr,False
Se,20.0,0.1136,0.0334,-6.2911,6.4047,substitution,clr,False
Sn,2.0,0.7297,0.6944,0.1132,0.6165,substitution,clr,False
Sr,2.5,0.9238,0.9041,0.71,0.2138,substitution,clr,False
Te,5.0,-3.2817,-5.0772,-18.1018,14.8201,substitution,clr,False
